Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-91.43467	154.44116	-9.532048	-799.6352	119.89655	0.06968121	0.20162983	1.1382354	-0.68041277	10000	-3.8743018e-08	4212.101	-0.0077593476	-3015.486	0.9189385	0.015243733	0.25879997	79.0	2.859846591949463
2	-132.0188	234.69672	-0.28929043	-754.34753	190.94286	-41.393173	27.292433	-7.0891747	-103.88874	20000	1.4901161e-09	882.40173	-0.009602467	-251.031	0.9016821	0.0073576123	0.2503	79.0	5.754091501235962
3	-129.3437	253.66876	1.491222	-681.8756	194.26315	-52.917126	27.551155	-5.619126	-102.84047	30000	1.4901161e-09	663.84174	-0.0069744596	-75.49412	0.8907484	0.002914434	0.2346	79.0	8.63520336151123
4	-102.40425	216.89185	17.386362	-619.05695	182.55173	-51.720448	36.566174	-2.8285246	-95.26911	40000	-3.7252904e-10	479.5171	-0.008615882	-76.95545	0.87768316	0.0060243774	0.2565	79.0	11.545957803726196
5	-74.15704	112.045074	6.7662396	-620.7712	121.94118	-50.364	66.99147	-2.2053955	-88.88573	50000	3.7252904e-10	439.70547	-0.011563569	-70.510765	0.8653444	0.00811792	0.28069997	79.0	14.448644161224365
6	-71.21904	83.53864	16.54338	-533.3597	128.97368	-47.95527	108.60016	-1.5013537	-84.99034	60000	-7.4505807e-10	427.6041	-0.019368649	-42.996147	0.851071	0.015054276	0.3342	79.0	17.366137266159058
7	-72.62648	127.861404	-4.315727	-556.7663	148.89743	-43.846073	117.20564	-1.2266533	-78.53797	70000	-1.8626451e-09	400.86847	-0.00876659	-38.90135	0.8347843	0.009482506	0.2662	79.0	20.297210931777954
8	-74.07587	122.80825	15.3460245	-492.3289	150.61765	-41.007675	144.1733	-1.158952	-77.14525	80000	-2.2351743e-09	255.2148	-0.013856532	-36.876064	0.82079136	0.011551042	0.3049	79.0	23.245662212371826
9	-45.379597	68.1299	16.887924	-449.8039	105.0339	-34.696117	185.64389	-1.2154942	-70.79493	90000	-3.1432137e-09	364.53522	-0.012036152	-42.67283	0.80442655	0.015629137	0.3154	79.0	26.539508819580078
10	-77.19975	144.62866	55.32825	-413.1271	202.23685	-31.893343	164.67662	-1.2205678	-64.43964	100000	-1.6763806e-09	284.1431	-0.011782007	-47.314583	0.7896692	0.017126098	0.3009	79.0	29.613569259643555
11	-41.325527	53.120575	52.78746	-266.902	149.43333	-29.04541	115.342705	-1.3143494	-57.504326	110000	-1.4901161e-09	240.71475	-0.012749654	-18.33456	0.7762937	0.01692261	0.33	79.0	32.675745725631714
12	-18.919792	51.632286	31.077639	-141.71059	126.0	-27.475544	137.59163	-1.3452994	-53.701687	120000	-1.1175871e-09	299.57477	-0.008198827	-50.997955	0.7611567	0.013358006	0.2858	79.0	35.76080536842346
