Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-502.5337	55.31851	-412.29117	-574.3196	1000.0	-0.27752027	0.19330877	0.76886165	-2.4065542	10000	1.4901161e-09	2347.2954	-0.0067211427	-1845.3098	0.91893864	0.011472761	0.201	79.0	2.009536027908325
2	-456.85098	59.629715	-366.8835	-567.6933	1000.0	-40.902267	20.289246	-2.7400653	-102.907104	20000	1.8626451e-09	358.1303	-0.015153145	-73.45625	0.9123615	0.007818476	0.21399999	79.0	4.009387254714966
3	-451.0048	51.829647	-359.59195	-541.37366	1000.0	-42.277405	14.030977	-4.0211425	-93.19325	30000	-3.6321581e-09	336.66757	-0.013683483	-26.26394	0.90010387	0.003355945	0.2062	79.0	6.146825790405273
4	-475.16367	66.478004	-394.44702	-614.1971	1000.0	-41.884758	17.73405	-5.810014	-82.33027	40000	1.6763806e-09	284.3011	-0.010876173	-29.060541	0.88589746	0.0008904025	0.1954	79.0	8.177102327346802
5	-389.55127	64.96142	-229.34497	-479.97485	1000.0	-43.599007	23.148764	-6.7161837	-81.3378	50000	-2.2351743e-09	262.87466	-0.011243942	-48.66839	0.86678296	0.002423245	0.1986	79.0	10.197204113006592
6	-316.7846	65.733284	-217.49274	-426.86496	1000.0	-37.549664	21.499678	-9.082267	-94.23236	60000	2.2351743e-09	262.7654	-0.010601183	-62.655243	0.8518089	0.00539725	0.2172	79.0	12.214048147201538
7	-293.16592	60.660633	-207.16173	-435.15237	1000.0	-29.887663	18.016806	-8.968915	-54.09044	70000	-7.4505807e-10	200.33803	-0.00879336	-11.466439	0.83636713	0.003376205	0.20349999	79.0	14.237941980361938
8	-267.7574	62.643326	-129.31743	-369.162	1000.0	-28.392353	17.72174	-8.521923	-53.23123	80000	9.313226e-11	151.41325	-0.007852113	-10.709694	0.8212162	0.007178077	0.21730001	79.0	16.256760835647583
9	-205.99722	29.417923	-170.3052	-277.93646	1000.0	-26.193804	48.434605	-8.505777	-73.35591	90000	1.8626451e-09	146.35567	-0.021217179	-37.988667	0.8078539	0.009308656	0.26340002	79.0	18.357277154922485
10	-155.00786	47.23334	-59.31769	-219.18109	1000.0	-20.424807	78.636604	-7.1396403	-60.285995	100000	-3.7252903e-09	160.28664	-0.009382744	-26.117462	0.7954919	0.010819844	0.2135	79.0	20.789695024490356
11	-111.51969	60.474358	3.4371228	-208.89198	1000.0	-15.393428	77.58414	-4.322423	-56.62465	110000	5.5879357e-10	136.17378	-0.0053455634	-12.492503	0.7824124	0.007878254	0.2023	79.0	23.133328199386597
12	-111.90846	58.39377	33.891953	-175.63159	1000.0	-11.9285145	31.842302	-3.5082746	-33.9579	120000	-7.4505807e-10	112.73866	-0.006208791	-4.175022	0.76918393	0.012516963	0.21100001	79.0	25.66693639755249
