Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-182.65735	71.90391	34.078636	-448.48038	94.545456	-0.0038684907	0.05770882	0.17736316	-0.07565443	10000	-1.9371509e-08	12736.636	-0.0021124813	-2288.3416	1.3841156	0.0068851262	0.050699998	79.0	2.390951633453369
2	-162.42088	103.06044	-10.045129	-414.50836	95.68	-11.289897	35.709778	-3.7973552	-46.187714	20000	-8.940697e-09	8303.76	-0.0026978294	-5538.361	1.3763872	0.013060981	0.1207	79.0	4.597614288330078
3	-138.59186	78.30778	-18.824463	-411.91183	104.7033	-76.70704	93.9574	-29.642567	-241.82362	30000	4.4703485e-09	2005.7883	-0.0025862097	-95.57518	1.3635886	0.014324483	0.123399995	79.0	6.813535690307617
4	-135.0644	79.16905	38.827614	-405.98578	111.51765	-71.17236	28.506596	-31.232393	-133.8843	40000	-9.313226e-10	2273.4219	-0.0021196592	-305.9064	1.334	0.015434581	0.1959	79.0	9.115891695022583
5	-110.52345	69.52249	18.93885	-446.64334	124.04	-69.063736	56.421627	-33.06268	-190.43414	50000	-1.4668331e-09	2409.3562	-0.002012128	-336.67352	1.2980322	0.010315623	0.1177	79.0	11.446786403656006
6	-77.278366	44.187256	-7.316688	-291.66837	146.4127	-54.1454	60.833954	-22.626305	-158.23935	60000	-9.685754e-09	1408.9902	-0.0039354996	-413.20932	1.2566485	0.0116556	0.1641	79.0	13.803146123886108
7	-70.13378	52.011066	41.44963	-294.07886	165.08511	-37.411217	116.70818	-7.6810904	-189.48781	70000	-1.4901161e-09	1799.3174	-0.0020621496	-254.83865	1.2160552	0.010935935	0.1368	79.0	17.01987361907959
8	-82.11649	42.276543	53.022423	-301.15335	225.53334	-25.9323	40.077793	-8.71245	-103.77035	80000	3.7252904e-10	2058.912	-0.0025207715	-141.137	1.18575	0.009430556	0.1118	79.0	19.986634254455566
9	-62.749657	91.61951	38.344475	-307.7495	423.18182	-22.048712	56.8469	-8.949337	-118.81103	90000	-1.4901161e-09	1329.8236	-0.0015051264	-104.69151	1.1686449	0.008689435	0.112	79.0	23.98674511909485
10	-55.59237	72.8902	68.08857	-234.89009	459.78946	-14.329622	77.14451	-4.132865	-86.20688	100000	2.9802323e-09	991.4713	-0.0020093739	-79.16765	1.1632216	0.0095695285	0.132	79.0	27.97923254966736
11	-24.348238	97.822914	77.759735	-245.8791	520.0769	-14.492047	79.54967	-1.3812611	-98.66078	110000	1.4901161e-09	914.5928	-0.0020755397	-161.22119	1.1671064	0.008949819	0.1001	79.0	31.69268560409546
12	25.102526	58.689205	107.690216	-54.751934	834.9091	-8.234278	127.67252	7.9588823	-65.10915	120000	-7.4505807e-10	413.38654	-0.0015323109	-70.966064	1.2004322	0.010833488	0.16559999	79.0	35.953611612319946
13	24.534973	76.079	105.430504	-144.734	976.5	-2.4795194	122.975845	19.282934	-52.368084	130000	0.0	328.9231	-0.0016721978	-52.337746	1.1912946	0.008433929	0.08049999	79.0	40.30109620094299
14	33.676872	85.64142	113.4747	-205.15555	992.1	0.9943369	147.50127	22.200724	-44.62276	140000	1.4901161e-09	459.7675	-0.0012111391	-91.87278	1.1323812	0.007873006	0.083	79.0	44.231468200683594
15	84.87755	33.01349	136.23141	39.58869	1000.0	1.6165819	91.72621	15.129421	-32.209198	150000	-1.8626451e-09	154.81989	-0.0016670864	-26.629948	1.114897	0.012363099	0.1712	79.0	48.509899616241455
16	55.126823	22.979914	92.7017	18.79366	1000.0	2.4628077	124.09088	19.419231	-33.826088	160000	3.7252903e-09	159.44794	-0.0035247814	-24.003315	1.0555317	0.0103901	0.0806	79.0	53.01406383514404
17	30.37999	63.00835	102.854324	-132.48807	994.5	4.430664	122.50167	16.5085	-19.876596	170000	-7.4505807e-10	220.07478	-0.00121689	-41.155373	1.0425799	0.0045698388	0.07310001	79.0	57.22584819793701
18	57.21459	25.868387	102.76881	21.226599	1000.0	2.4443696	35.783096	8.360194	-4.3116665	180000	3.7252904e-10	89.67154	-0.0017280666	-12.28066	1.026974	0.008032888	0.0639	79.0	61.617011070251465
19	35.471714	25.678082	90.23373	2.4330728	1000.0	4.324672	38.823215	14.681799	-20.094013	190000	1.4901161e-09	102.17858	-0.001780988	-11.780665	0.9966774	0.004725354	0.071	79.0	66.10695362091064
20	51.435955	45.32235	145.11792	-14.898065	998.6	1.8267804	59.10617	12.467804	-7.8074293	200000	-1.6763806e-09	204.11453	-0.0010041633	-36.127937	0.97256964	0.0045631393	0.055	79.0	70.09333777427673
21	53.37386	20.55566	98.36921	32.03377	1000.0	2.3938441	35.61767	14.345068	-19.267351	210000	-3.7252904e-10	100.16208	-0.0054511353	-9.503382	0.9819587	0.007146673	0.0748	79.0	74.44092202186584
22	53.533333	26.501017	89.397545	-0.70986295	1000.0	3.5212843	53.33357	16.752913	-12.392307	220000	-3.7252904e-10	113.10879	-0.003194342	-11.721539	0.96945924	0.0073303343	0.0776	79.0	79.01044917106628
23	66.24524	31.739904	136.52829	26.79631	1000.0	2.8332803	28.7941	19.437397	-3.9690008	230000	2.9802323e-09	79.55561	-0.0016757774	-10.421724	0.9566103	0.0037756667	0.032899998	79.0	83.54966640472412
24	59.087574	39.719494	122.54457	-1.1798143	1000.0	4.5677633	30.244652	22.547277	-3.1648724	240000	-3.7252903e-09	100.28331	-0.0014520827	-18.502594	0.925683	0.0042311056	0.0421	79.0	88.22489356994629
25	34.58641	60.54875	127.97465	-73.852615	1000.0	3.568368	67.192726	23.598288	-4.7880683	250000	-2.6077032e-09	142.3577	-0.0011031164	-36.071278	0.9109287	0.0030671596	0.025099998	79.0	92.76735615730286
26	70.56875	42.434742	130.44649	15.921892	1000.0	3.67933	109.92066	30.969881	-7.604464	260000	1.4901161e-09	70.06627	-0.0016665108	-18.324097	0.9065588	0.0071232854	0.0495	79.0	97.17296767234802
27	15.29664	54.23554	99.18737	-54.618114	1000.0	2.8134882	86.423004	26.606339	-7.575838	270000	1.1175871e-09	46.48198	-0.00076406077	-14.9458065	0.9248705	0.0070112264	0.054400004	79.0	101.6505298614502
28	72.9254	34.34643	146.71599	14.090771	1000.0	1.8763728	105.74698	38.272926	-11.080657	280000	-8.940697e-09	39.920982	-0.0042230813	-16.197758	0.8757655	0.004614222	0.068	79.0	105.60917162895203
29	43.878593	30.331028	100.11477	1.2052743	1000.0	4.081092	168.84961	43.22925	-8.880182	290000	1.1175871e-09	80.49422	-0.00034129812	-30.750235	0.85440314	0.0040631844	0.0347	79.0	109.8521409034729
