Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-227.18445	130.02455	-5.0209603	-542.1865	102.87234	-0.08047965	0.24013196	-0.01974893	-0.27416322	10000	4.0978194e-09	17524.986	-0.0011548774	-2942.8723	0.918938	0.0066303536	0.0635	79.0	2.45298171043396
2	-182.25845	118.0194	-26.771238	-462.3901	109.74712	-13.038684	18.69726	-6.6424794	-40.850555	20000	7.4505807e-10	9674.482	-0.0013671012	-6532.951	0.91769063	0.0076355166	0.061	79.0	4.9012181758880615
3	-118.395195	90.71501	3.9710143	-336.3109	114.47561	-80.654884	68.288666	-20.450996	-241.11311	30000	2.2351743e-09	2263.1824	-0.0016435969	-340.63754	0.93143195	0.0076193837	0.0741	79.0	7.47417688369751
4	-108.35583	85.0602	-2.441555	-713.7558	120.48052	-61.476532	63.07579	-15.306889	-213.37668	40000	-1.4901161e-09	2312.392	-0.0014353617	-125.59485	0.9196722	0.00715743	0.0809	79.0	10.329047441482544
5	-73.605125	28.969288	8.8970585	-215.36688	126.5	-54.419964	41.016262	-24.068802	-171.58374	50000	7.4505807e-10	1181.1467	-0.0031076665	-343.94037	0.9249762	0.009639281	0.0868	79.0	12.883240699768066
6	-50.834545	33.013283	32.260727	-138.93675	145.53125	-39.405987	37.713577	-10.835482	-126.55259	60000	6.3329937e-09	1122.6384	-0.0034912904	-273.07974	0.9179905	0.008177084	0.0897	79.0	16.145503044128418
7	-40.56669	65.485054	25.832499	-270.76346	147.74193	-26.77121	28.399944	-10.225027	-102.19948	70000	-2.9802323e-09	1321.139	-0.0019325793	-188.7261	0.908436	0.008355822	0.0775	79.0	18.76634430885315
8	-32.974583	52.72933	38.55965	-266.41574	173.45284	-26.62432	67.18962	-4.3699985	-127.12379	80000	-2.2351743e-09	1311.2559	-0.0029561352	-234.88559	0.9038469	0.011392632	0.090399995	79.0	22.885995388031006
9	-34.342236	27.45553	42.992706	-151.16411	181.71428	-28.112772	165.33875	-3.245143	-145.49458	90000	3.7252904e-10	1251.1975	-0.0026982403	-252.25562	0.89304143	0.007843442	0.072399996	79.0	27.26014995574951
10	-49.742676	66.82795	41.676094	-244.11143	277.0435	-18.303068	122.47498	-1.911395	-100.54769	100000	-3.9115546e-09	1116.1599	-0.0056261257	-125.732765	0.8771057	0.011643061	0.10669999	79.0	32.27146553993225
11	-65.10025	69.54565	39.24215	-214.31297	528.5	-27.437763	339.53326	-1.3272566	-117.59554	110000	-7.4505807e-10	1293.2019	-0.0014846979	-230.80342	0.8774599	0.0080713015	0.0754	79.0	38.07465624809265
12	-101.6853	81.16689	44.579514	-303.0941	442.3846	-9.902375	134.78285	0.2255154	-104.16028	120000	-1.4901161e-09	1820.8278	-0.0023254168	-237.73557	0.88188505	0.007446027	0.058700003	79.0	43.80007004737854
13	-7.2587614	62.004406	40.21654	-140.7116	816.6	-18.912636	153.70398	2.4421883	-97.781746	130000	1.4901161e-09	753.9169	-0.0032534755	-254.26266	0.8868319	0.006040196	0.0828	79.0	49.00889778137207
14	-58.726707	126.54479	45.684616	-340.36783	951.4	-4.013561	77.96415	16.216545	-125.26801	140000	-3.3527612e-09	759.7905	-0.0012794177	-212.21567	0.8686312	0.004018283	0.060899995	79.0	55.20963978767395
15	-32.892353	101.09025	45.6554	-295.0772	969.1	-8.890202	95.84175	20.769926	-149.60614	150000	-1.4901161e-09	416.13467	-0.0020996344	-31.994488	0.8657936	0.0057278974	0.0686	79.0	61.23744320869446
16	-22.213945	86.2723	50.514664	-266.4078	993.6	1.5176473	200.46289	30.163725	-67.77084	160000	1.4901161e-09	429.06573	-0.0007042834	-173.43547	0.84586793	0.0038774163	0.039300002	79.0	67.2371015548706
17	2.4561455	68.70019	72.07215	-137.04376	997.1	-6.6639366	126.4516	19.326448	-83.30674	170000	-1.8626452e-10	219.54196	-0.0022293217	-19.464214	0.8319646	0.0056785606	0.0716	79.0	73.09721207618713
18	-13.3812	37.64738	38.30563	-75.59911	1000.0	0.14493077	104.07008	18.875324	-53.064438	180000	0.0	157.54276	-0.00110774	-42.858356	0.8159788	0.0055582505	0.059299998	79.0	79.23241376876831
19	21.229473	34.99602	93.08938	-36.650333	1000.0	-7.461051	85.74882	13.977608	-37.119976	190000	1.3038516e-09	118.433205	-0.00081101025	-33.244072	0.81984293	0.0040494567	0.0465	79.0	85.54877758026123
20	26.13122	32.184555	74.19009	-8.64754	1000.0	-2.3278248	77.37787	19.930845	-32.37179	200000	7.4505807e-10	118.17234	-0.0014914058	-12.584021	0.7985331	0.0034669484	0.0471	79.0	92.44235157966614
21	32.403893	27.257092	66.90925	-13.699493	1000.0	-1.969643	49.691444	22.168364	-23.412533	210000	-7.4505807e-10	90.37454	-0.0014546314	-18.87043	0.78998125	0.0040624803	0.051699996	79.0	98.76115489006042
22	10.871504	34.693043	72.63565	-45.493618	1000.0	-1.0151411	44.160282	25.520845	-15.652886	220000	1.2572855e-09	88.48271	-0.0009370266	-16.441006	0.7746757	0.005339327	0.0453	79.0	104.69395327568054
23	18.624868	36.1178	102.48612	-29.672092	1000.0	-2.332924	57.035343	41.595093	-14.420855	230000	-2.2351743e-09	82.48988	-0.0007425466	-17.191751	0.7648222	0.0022960065	0.046400003	79.0	110.6098244190216
24	6.5085387	11.579931	22.687757	-9.608409	1000.0	-1.9318871	23.309355	37.875755	-13.942089	240000	-3.7252904e-10	49.648716	-0.0030762702	-8.097251	0.7424175	0.0044076703	0.049200002	79.0	116.93568062782288
25	8.236208	41.122173	62.97352	-43.772118	1000.0	-1.5303499	50.40902	48.740948	-13.332838	250000	-1.4901161e-09	57.982872	-0.0011261292	-14.652919	0.726684	0.0041931057	0.045199998	79.0	123.34695625305176
26	21.336126	31.470245	70.1153	-29.745216	1000.0	-2.5054834	8.127846	33.14014	-8.703352	260000	-7.4505807e-10	60.351257	-0.0012658664	-20.603188	0.71403825	0.004851742	0.041	79.0	129.26412916183472
27	13.449376	35.25126	53.638737	-74.58371	1000.0	-0.9006671	19.49936	29.748142	-8.192675	270000	1.8626451e-09	51.484154	-0.0012997144	-15.8110485	0.7027476	0.0047155684	0.0558	79.0	135.7284071445465
28	60.43084	16.768578	93.816124	33.705887	1000.0	0.5639145	58.862877	65.06475	-13.074007	280000	-1.4901161e-09	36.538277	-0.0032377443	-15.606361	0.6901785	0.0056240307	0.056700002	79.0	141.9964714050293
29	71.156265	26.522018	123.224144	35.32098	1000.0	2.7540667	48.141415	60.783398	-7.6715107	290000	1.1175871e-09	19.798424	-0.0012425445	-5.7788095	0.6764144	0.004919246	0.053000003	79.0	147.41012954711914
30	79.620346	50.763233	163.84164	-10.119598	972.2	3.832139	42.486637	46.005886	-6.322605	300000	0.0	130.82411	-0.00084683794	-23.743582	0.6607496	0.007565291	0.0887	79.0	153.8354630470276
31	81.17357	26.606339	125.3976	50.385796	1000.0	8.581328	125.52075	67.95587	-7.2805185	310000	-3.7252904e-10	41.469368	-0.0010825383	-24.90239	0.6369816	0.005967583	0.059899997	79.0	159.6963493824005
32	84.03435	39.42438	188.99823	24.366356	990.4	5.4967732	47.2208	54.07335	-7.277165	320000	-2.9802323e-09	71.9701	-0.00069315435	-8.623838	0.63739	0.0068840585	0.050800003	79.0	165.43739795684814
33	99.08074	35.370785	171.148	28.816963	981.9	6.5138373	79.55413	64.310196	-10.293562	330000	-7.4505807e-10	83.27788	-0.0015597817	-12.953357	0.62812436	0.006928661	0.091000006	79.0	171.62747597694397
34	139.80576	56.67343	248.48709	79.19847	883.1	9.9054785	125.52688	78.461494	-9.493938	340000	2.2351743e-09	201.35182	-0.000836443	-23.323673	0.60468185	0.00805757	0.093200006	79.0	177.212495803833
35	128.1318	116.80945	248.99892	-169.51413	882.8	15.495969	154.72005	78.37323	-3.4031377	350000	2.2351743e-09	639.0063	-0.0007835038	-380.40448	0.5774848	0.0054899654	0.07740001	79.0	182.61592078208923
36	178.70886	75.69761	277.1914	59.920807	811.2	13.387172	165.27332	71.852356	-19.973228	360000	-1.1175871e-09	284.95874	-0.0010735275	-65.76974	0.5652363	0.008497819	0.109500006	79.0	187.78305101394653
37	193.67323	73.39765	258.4531	-6.1134124	686.0833	18.724703	144.6725	84.87859	-8.458395	370000	4.4703485e-09	432.4374	-0.0013124052	-37.509144	0.53292257	0.005231552	0.0739	79.0	193.0970561504364
38	169.54846	87.55053	257.0437	-33.21864	712.0	17.218172	231.46115	82.70237	-14.682193	380000	-1.1175871e-09	346.09973	-0.0012112658	-39.286427	0.51044786	0.009049187	0.0934	79.0	198.14251160621643
39	172.10541	69.61831	273.67908	34.732285	696.7273	23.018572	207.48624	82.66409	-2.3001559	390000	-1.4901161e-09	377.33575	-0.0014429234	-67.10108	0.48702735	0.007847106	0.0819	79.0	202.54029321670532
40	177.96248	92.31631	270.01764	-62.550777	635.4167	20.116756	117.826904	86.515015	-50.507156	400000	0.0	381.25177	-0.001082189	-68.655045	0.46044844	0.0062842495	0.0675	79.0	206.7225067615509
41	199.26701	64.581184	258.40387	5.1438127	543.46155	24.501879	119.4164	94.46296	-39.14884	410000	-1.1175871e-09	390.06488	-0.0012921704	-63.42283	0.44225836	0.00658171	0.061699998	79.0	211.07665729522705
42	175.14415	167.21176	264.5122	-135.51756	470.93332	29.742687	192.66966	87.06027	-58.58737	420000	2.2351743e-09	739.2622	-0.0010703942	-253.4587	0.42814288	0.005131279	0.058	79.0	215.12170481681824
43	210.39595	62.673317	275.2486	75.79621	580.2727	20.804121	319.4264	88.78707	-55.944294	430000	3.7252904e-10	388.1915	-0.0010168516	-136.24121	0.4247593	0.006317386	0.063099995	79.0	219.33076572418213
