Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-1345.8512	398.31906	-746.0113	-1887.4993	200.0	0.0040991856	0.058405995	0.02057403	-0.013977276	20000	8.195639e-09	185885.78	-0.00014469805	-2529.267	0.91893846	0.0031203113	0.01735	79.0	3.90446138381958
2	-1307.3918	185.71272	-777.9608	-1883.7078	200.0	-3.6310036	7.708808	-0.7958765	-8.941436	40000	-1.1920929e-08	168842.05	-0.00026718416	-20235.395	0.9141186	0.002265205	0.013499999	79.0	6.704326629638672
3	-1270.9493	191.02238	-756.3167	-1837.841	200.0	-33.781143	74.00127	-3.141138	-82.060844	60000	3.7252903e-09	140764.58	-0.00037937477	-45729.438	0.90877455	0.002894429	0.02035	79.0	9.485200881958008
4	-1260.7369	248.45146	-708.40576	-1790.2003	200.0	-116.864365	175.7859	-7.2233925	-286.90714	80000	-7.450581e-09	97241.73	-0.00048907707	-34836.867	0.9080858	0.0032348908	0.019299999	79.0	12.392701387405396
5	-1232.0146	270.6068	-743.1926	-1881.9065	200.0	-230.18515	309.9668	-11.448971	-531.90985	100000	7.823109e-09	60677.945	-0.0005811817	-11096.457	0.89019424	0.0033184271	0.01625	79.0	15.376386880874634
6	-1202.2494	134.71931	-658.3216	-1814.2211	200.0	-288.25446	210.3844	-15.434135	-602.4369	120000	5.5879357e-10	46698.906	-0.0015730215	-6906.922	0.8911045	0.0028363485	0.01495	79.0	18.1764132976532
7	-1196.478	225.65868	-634.1089	-1783.3745	200.0	-299.67	298.9455	-21.464924	-567.98224	140000	-6.3329937e-09	40367.57	-0.0015899639	-6216.581	0.888025	0.003327445	0.022549998	79.0	21.03216028213501
8	-1192.5869	236.44917	-635.189	-1714.6447	200.0	-313.4758	545.2174	-30.83069	-544.38416	160000	-8.5681675e-09	32378.428	-0.0024958912	-3295.8352	0.88384026	0.0050069843	0.04	79.0	23.76560664176941
9	-1139.4825	204.35161	-650.6187	-1742.4442	200.0	-312.88666	556.8786	-44.787212	-500.8329	180000	-8.195639e-09	27880.188	-0.002465199	-2161.8953	0.8635901	0.0037973789	0.019949999	79.0	26.65343427658081
10	-1124.4465	313.36102	-628.27106	-1710.2758	200.0	-307.94318	986.87524	-64.06954	-465.55966	200000	-8.195639e-09	24409.475	-0.0030295674	-1308.8079	0.85342914	0.0029562672	0.0339	79.0	29.493972778320312
