Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	Time
1	-240.38551	0.00010574745	4.6377997	-452.28278	113.314285	3999	1.190502643585205
2	-237.3044	0.0001980242	-62.884228	-478.33063	106.10526	7999	2.3214733600616455
3	-152.50238	1.9546895e-05	-25.131435	-331.63547	102.46154	11999	23.632988452911377
4	-227.96994	0.00010316825	-43.20641	-442.67618	112.8	15999	63.51717281341553
5	-193.28735	5.07437e-05	-24.9885	-482.4022	105.10526	19999	103.63288021087646
6	73.76608	7.6293945e-06	214.1812	-31.720993	826.5	23999	152.30901765823364
7	34.446922	3.411969e-06	196.78137	-49.223473	888.4	27999	204.02819633483887
8	-23.21714	3.8146973e-06	24.889029	-97.54964	896.25	31999	255.90105175971985
9	-40.417957	3.8146973e-06	34.95457	-139.94135	1000.0	35999	306.75081419944763
10	21.761585	0.0	117.87016	-56.019096	823.4	39999	360.0230369567871
11	18.555283	0.0	55.68351	3.5174327	1000.0	43999	409.83537197113037
12	-154.70721	2.49175e-05	20.297615	-393.7158	639.3333	47999	460.50757026672363
13	-21.529741	0.0	0.609002	-83.74924	902.6	51999	511.62071561813354
14	-103.04222	1.9073486e-06	13.448215	-335.5184	881.5	55999	564.1377561092377
15	22.802206	6.823938e-06	246.24725	-62.07869	875.0	59999	612.8510801792145
16	29.599457	0.0	302.76752	-64.77772	853.0	63999	664.0641758441925
17	-10.325951	9.536743e-07	17.507696	-27.826347	1000.0	67999	714.1185176372528
18	-41.83068	3.8146973e-06	30.561188	-158.54114	790.25	71999	766.1315131187439
19	31.811155	6.229375e-06	211.38924	-33.32377	749.5	75999	816.5960474014282
20	-0.23542213	0.0	175.3382	-72.170784	552.5	79999	864.7100908756256
21	-3.545749	9.536743e-07	13.812377	-18.974756	1000.0	83999	915.8509786128998
22	29.902386	3.8146973e-06	207.89958	-74.45166	821.25	87999	965.7683689594269
23	21.285826	4.32546e-06	260.0473	-49.60049	666.2857	91999	1013.3066432476044
24	70.682175	1.3647876e-05	253.1575	-232.54611	779.4	95999	1060.78333735466
25	111.02205	1.3647876e-05	209.47916	1.9816191	728.0	99999	1107.9414241313934
26	119.293365	1.8688124e-05	267.1556	-51.58935	592.3333	103999	1156.5522246360779
27	22.453978	7.7867185e-07	259.1338	-127.49244	700.6667	107999	1203.6286396980286
28	11.80604	6.823938e-06	193.33606	-42.386406	890.4	111999	1252.5961787700653
29	95.69306	6.823938e-06	259.32358	-2.8614404	756.6	115999	1301.2970077991486
30	113.722755	1.8688124e-05	236.10635	-1.2925915	729.3333	119999	1349.5151002407074
31	205.67328	5.3947965e-06	235.8043	147.23346	503.875	123999	1393.6470062732697
32	152.32172	8.092195e-06	221.76492	-34.170048	512.25	127999	1438.970547914505
33	227.801	6.3440086e-05	244.01198	211.41888	473.0	131999	1487.999461889267
34	143.09085	1.9301011e-05	249.01016	-133.61426	456.6	135999	1539.892160654068
35	157.32141	1.9301011e-05	277.51566	-202.09032	369.9	139999	1589.829229593277
36	147.39548	0.0	205.25198	30.421263	684.8333	143999	1642.2796664237976
37	143.80496	3.236878e-05	264.89212	-120.96559	529.5	147999	1693.4379053115845
38	224.71223	5.086263e-06	297.99176	90.42163	448.33334	151999	1743.7215204238892
39	228.2434	5.3947965e-06	265.69473	200.15462	479.75	155999	1793.854520559311
40	32.37749	6.823938e-06	142.01688	-89.83233	811.0	159999	1847.964872598648
41	51.649014	1.153456e-05	248.51447	-156.06586	583.2857	163999	1898.6217274665833
42	134.82077	4.0943625e-05	241.07709	-65.2174	681.2	167999	1952.6901829242706
