Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1150.6604	2.7295751e-05	-759.9775	-1633.2339	-1317.6794	0.00011580606	-1234.058	-1405.2772	200.0	200.0	3999	-22.011272	0.0022251229	1.0881941	-85.04082	-22.012928	0.0014120972	0.91378087	-84.94374	21.352211	3.9084225	28.832818269729614
2	-1218.6401	0.00043673202	-759.56323	-1662.437	-214.90698	4.3427277e-05	-123.60905	-351.65784	200.0	200.0	7999	-57.404125	0.0005064585	6.9689345	-118.388016	-57.404716	0.0032487463	6.6838017	-118.18119	55.516354	28.710274	68.00113940238953
3	-771.75604	0.00012283088	-116.50547	-1808.8154	-120.11804	3.377677e-05	-1.0224271	-335.4318	200.0	200.0	11999	-82.39955	0.0053479243	13.496797	-163.96371	-82.39999	0.0059014773	13.1179695	-164.12628	79.45083	71.18985	109.6436378955841
4	-187.92653	4.4355595e-05	-115.58871	-363.69794	-181.54718	1.9301011e-05	-4.0436735	-348.57767	200.0	200.0	15999	-75.04917	0.0038787313	25.550022	-206.10515	-75.04981	0.0065221977	25.079832	-206.70605	72.27314	86.12405	150.4256112575531
5	-133.01642	6.6533394e-05	-1.1596204	-323.25354	-177.01114	3.6189394e-05	-114.618645	-304.76752	200.0	200.0	19999	-61.952286	0.010783861	27.70598	-233.90198	-61.952835	0.0013093806	26.416082	-232.88014	58.883045	79.65826	190.21315622329712
6	-130.33005	8.5299225e-06	-0.31772432	-324.2362	-129.58582	2.4126264e-06	-0.6896473	-342.0578	200.0	200.0	23999	-50.21889	0.0015379046	21.963158	-243.11357	-50.217957	0.0014576124	22.471243	-242.49321	47.53576	63.203487	229.54593873023987
7	-174.22714	2.3883784e-05	-1.8820118	-356.57922	-189.36095	1.9301011e-05	-5.8422832	-390.74182	200.0	200.0	27999	-43.379494	0.00047248875	21.465118	-246.55223	-43.37935	0.0004369749	20.307034	-246.68639	41.02219	57.50592	268.2096767425537
8	-144.75766	5.117953e-06	-4.05739	-274.8867	-205.3044	2.4126264e-05	-116.53952	-354.35898	200.0	200.0	31999	-39.363777	0.0013587911	15.859902	-245.90416	-39.363846	0.0066090524	15.143794	-245.66354	37.592358	51.108326	306.31825137138367
9	-168.95834	2.7295751e-05	-6.0904593	-383.23978	-151.75862	9.6505055e-06	-7.204736	-349.9948	200.0	200.0	35999	-37.410236	0.0021231112	9.305907	-240.15889	-37.410107	0.0026172171	9.46915	-240.58209	36.02825	46.8556	344.3435206413269
10	-118.76792	2.2177797e-05	-5.3825283	-247.1715	-150.12851	2.8951516e-05	-5.379306	-253.75858	200.0	200.0	39999	-35.88767	0.0012661463	7.310416	-243.60909	-35.88741	0.00046476835	8.200534	-242.80048	34.505486	42.87149	383.41457748413086
